Address,Type,Datetime,Latitude,Longitude,Report Location,Incident Number
10507 Aurora Av N,Aid Response Yellow,11/18/2015 10:35:00 PM +0000,47.705096,-122.344695,"(47.705096, -122.344695)",F150132473
4545 42nd Av Sw,Aid Response Yellow,11/18/2015 09:13:00 PM +0000,47.562472,-122.385455,"(47.562472, -122.385455)",F150132438
11045 8th Av Ne,Aid Response Yellow,11/18/2015 10:09:00 AM +0000,47.708899,-122.320568,"(47.708899, -122.320568)",F150132269
517 3rd Av,Aid Response Yellow,11/18/2015 08:25:00 AM +0000,47.602172,-122.330863,"(47.602172, -122.330863)",F150132252
100 Melrose Av E,Aid Response Yellow,11/17/2015 05:36:00 PM +0000,47.618497,-122.327854,"(47.618497, -122.327854)",F150131942
3050 19th Av S,Aid Response Yellow,11/17/2015 05:04:00 PM +0000,47.576511,-122.30787,"(47.576511, -122.30787)",F150131932
11045 8th Av Ne,Aid Response Yellow,11/17/2015 01:51:00 PM +0000,47.708899,-122.320568,"(47.708899, -122.320568)",F150131890
2400 4th Av,Aid Response Yellow,11/17/2015 06:56:00 AM +0000,47.616138,-122.345235,"(47.616138, -122.345235)",F150131834
2024 3rd Av,Aid Response Yellow,11/17/2015 02:04:00 AM +0000,47.612578,-122.341197,"(47.612578, -122.341197)",F150131729
4419 S Bateman St,Aid Response Yellow,11/16/2015 10:27:00 PM +0000,47.546732,-122.278085,"(47.546732, -122.278085)",F150131652
725 9th Av,Aid Response Yellow,11/16/2015 07:17:00 PM +0000,47.606444,-122.325563,"(47.606444, -122.325563)",F150131582
6317 14th Av Ne,Aid Response Yellow,11/16/2015 06:15:00 PM +0000,47.674585,-122.313123,"(47.674585, -122.313123)",F150131563
11045 8th Av Ne,Aid Response Yellow,11/16/2015 12:03:00 PM +0000,47.708899,-122.320568,"(47.708899, -122.320568)",F150131472
28th Av Nw / Nw Market St,Aid Response Yellow,11/16/2015 08:00:00 AM +0000,47.668655,-122.392858,"(47.668655, -122.392858)",F150131431
3625 S Cloverdale St,Aid Response Yellow,11/16/2015 01:16:00 AM +0000,47.526118,-122.286924,"(47.526118, -122.286924)",F150131284
8302 Seward Park Av S,Aid Response Yellow,11/15/2015 11:47:00 AM +0000,47.529461,-122.266325,"(47.529461, -122.266325)",F150131038
13000 Linden Av N,Aid Response Yellow,11/15/2015 07:36:00 AM +0000,47.723218,-122.348195,"(47.723218, -122.348195)",F150130968
2400 4th Av,Aid Response Yellow,11/15/2015 06:02:00 AM +0000,47.616138,-122.345235,"(47.616138, -122.345235)",F150130936
7737 33rd Av Nw,Aid Response Yellow,11/15/2015 04:43:00 AM +0000,47.685149,-122.399365,"(47.685149, -122.399365)",F150130913
1531 1st Av,Aid Response Yellow,11/14/2015 05:45:00 PM +0000,47.609125,-122.340291,"(47.609125, -122.340291)",F150130709
6252 29th Av Ne,Aid Response Yellow,11/14/2015 03:41:00 PM +0000,47.674281,-122.296425,"(47.674281, -122.296425)",F150130681
805 4th Av N,Aid Response Yellow,11/14/2015 03:16:00 PM +0000,47.626322,-122.348863,"(47.626322, -122.348863)",F150130680
2400 4th Av,Aid Response Yellow,11/14/2015 05:58:00 AM +0000,47.616138,-122.345235,"(47.616138, -122.345235)",F150130562
6584 32nd Av Sw,Aid Response Yellow,11/14/2015 03:40:00 AM +0000,47.543896,-122.373773,"(47.543896, -122.373773)",F150130524
236 24th Av E,Aid Response Yellow,11/14/2015 02:00:00 AM +0000,47.620596,-122.30114,"(47.620596, -122.30114)",F150130488
3002 21st Av W,Aid Response Yellow,11/14/2015 01:27:00 AM +0000,47.646592,-122.383348,"(47.646592, -122.383348)",F150130476
414 Belmont Av E,Aid Response Yellow,11/14/2015 12:42:00 AM +0000,47.622143,-122.324025,"(47.622143, -122.324025)",F150130463
5056 42nd Av Sw,Aid Response Yellow,11/13/2015 11:52:00 PM +0000,47.557438,-122.385454,"(47.557438, -122.385454)",F150130438
3005 Nw 92nd St,Aid Response Yellow,11/13/2015 10:18:00 PM +0000,47.696023,-122.395913,"(47.696023, -122.395913)",F150130399
5300 24th Av Ne,Aid Response Yellow,11/13/2015 08:00:00 PM +0000,47.66707,-122.301946,"(47.66707, -122.301946)",F150130355
3400 25th Av W,Aid Response Yellow,11/13/2015 04:34:00 PM +0000,47.650317,-122.388607,"(47.650317, -122.388607)",F150130272
9455 27th Av Sw,Aid Response Yellow,11/13/2015 01:13:00 PM +0000,47.518178,-122.367277,"(47.518178, -122.367277)",F150130229
9455 27th Av Sw,Aid Response Yellow,11/13/2015 09:15:00 AM +0000,47.518178,-122.367277,"(47.518178, -122.367277)",F150130197
6019 45th Av Ne,Aid Response Yellow,11/13/2015 09:10:00 AM +0000,47.672332,-122.279496,"(47.672332, -122.279496)",F150130195
12505 Greenwood Av N,Aid Response Yellow,11/13/2015 07:15:00 AM +0000,47.719638,-122.355539,"(47.719638, -122.355539)",F150130169
2024 3rd Av,Aid Response Yellow,11/12/2015 02:16:00 PM +0000,47.612578,-122.341197,"(47.612578, -122.341197)",F150129648
2024 3rd Av,Aid Response Yellow,11/12/2015 08:20:00 AM +0000,47.612578,-122.341197,"(47.612578, -122.341197)",F150129598
915 Ne 70th St,Aid Response Yellow,11/12/2015 04:08:00 AM +0000,47.679481,-122.318539,"(47.679481, -122.318539)",F150129542
3245 43rd Av W,Aid Response Yellow,11/11/2015 06:07:00 PM +0000,47.64903,-122.411945,"(47.64903, -122.411945)",F150129363
8356 16th Av Nw,Aid Response Yellow,11/11/2015 01:25:00 PM +0000,47.689257,-122.377879,"(47.689257, -122.377879)",F150129310
3201 Sw Graham St,Aid Response Yellow,11/11/2015 09:34:00 AM +0000,47.54666,-122.373219,"(47.54666, -122.373219)",F150129281
1101 Madison St,Aid Response Yellow,11/10/2015 09:37:00 PM +0000,47.609343,-122.325128,"(47.609343, -122.325128)",F150129077
1916 20th Av S,Aid Response Yellow,11/10/2015 12:35:00 PM +0000,47.586203,-122.30684,"(47.586203, -122.30684)",F150128898
3621 33rd Av S,Aid Response Yellow,11/10/2015 11:40:00 AM +0000,47.571408,-122.291001,"(47.571408, -122.291001)",F150128887
2515 Sw Trenton St,Aid Response Yellow,11/10/2015 12:47:00 AM +0000,47.524683,-122.364719,"(47.524683, -122.364719)",F150128731
13733 26th Av Ne,Aid Response Yellow,11/09/2015 11:01:00 PM +0000,47.728438,-122.300482,"(47.728438, -122.300482)",F150128698
1737 Belmont Av,Aid Response Yellow,11/09/2015 10:03:00 PM +0000,47.616862,-122.324494,"(47.616862, -122.324494)",F150128679
W Bertona St / 43rd Av W,Aid Response Yellow,11/09/2015 08:23:00 PM +0000,47.650449,-122.411939,"(47.650449, -122.411939)",F150128644
1517 N 107th St,Aid Response Yellow,11/09/2015 06:24:00 PM +0000,47.706875,-122.339187,"(47.706875, -122.339187)",F150128592
1212 Queen Anne Av N,Aid Response Yellow,11/09/2015 04:34:00 AM +0000,47.62967,-122.356621,"(47.62967, -122.356621)",F150128436
3516 Sw Ocean View Dr,Aid Response Yellow,11/08/2015 07:07:00 PM +0000,47.502693,-122.376304,"(47.502693, -122.376304)",F150128279
2915 W Elmore St,Aid Response Yellow,11/08/2015 03:30:00 PM +0000,47.657694,-122.395653,"(47.657694, -122.395653)",F150128230
5747 64th Av Ne,Aid Response Yellow,11/07/2015 11:38:00 PM +0000,47.669713,-122.259529,"(47.669713, -122.259529)",F150128000
2121 26th Av S,Aid Response Yellow,11/07/2015 08:34:00 PM +0000,47.584234,-122.299024,"(47.584234, -122.299024)",F150127911
1531 1st Av,Aid Response Yellow,11/07/2015 07:13:00 PM +0000,47.609125,-122.340291,"(47.609125, -122.340291)",F150127877
1531 1st Av,Aid Response Yellow,11/07/2015 06:46:00 PM +0000,47.609125,-122.340291,"(47.609125, -122.340291)",F150127865
116 Fairview Av N,Aid Response Yellow,11/07/2015 05:29:00 PM +0000,47.618693,-122.334256,"(47.618693, -122.334256)",F150127828
613 N 35th St,Aid Response Yellow,11/07/2015 04:16:00 PM +0000,47.6507,-122.35104,"(47.6507, -122.35104)",F150127812
6545 Ravenna Av Ne,Aid Response Yellow,11/07/2015 12:13:00 PM +0000,47.676048,-122.30382,"(47.676048, -122.30382)",F150127779
10058 Lake Shore Blvd Ne,Aid Response Yellow,11/07/2015 11:19:00 AM +0000,47.702316,-122.274367,"(47.702316, -122.274367)",F150127772
