Address,Type,Datetime,Latitude,Longitude,Report Location,Incident Number
1814 Minor Av,Auto Fire Alarm,11/19/2015 01:36:00 AM +0000,47.616942,-122.330731,"(47.616942, -122.330731)",F150132550
3922 Sw Alaska St,Auto Fire Alarm,11/19/2015 01:31:00 AM +0000,47.561131,-122.38175,"(47.561131, -122.38175)",F150132549
611 S Lane St,Auto Fire Alarm,11/19/2015 12:06:00 AM +0000,47.596676,-122.326122,"(47.596676, -122.326122)",F150132510
4530 46th Av Ne,Auto Fire Alarm,11/18/2015 11:30:00 PM +0000,47.661555,-122.278344,"(47.661555, -122.278344)",F150132497
1000 4th Av,Auto Fire Alarm,11/18/2015 10:49:00 PM +0000,47.606088,-122.332909,"(47.606088, -122.332909)",F150132477
419 Occidental Av S,Auto Fire Alarm,11/18/2015 09:53:00 PM +0000,47.599024,-122.332884,"(47.599024, -122.332884)",F150132452
2717 Dexter Av N,Auto Fire Alarm,11/18/2015 09:45:00 PM +0000,47.644374,-122.346913,"(47.644374, -122.346913)",F150132449
4585 Texas Way W,Auto Fire Alarm,11/18/2015 08:26:00 PM +0000,47.663502,-122.405592,"(47.663502, -122.405592)",F150132424
121 Vine St,Auto Fire Alarm,11/18/2015 08:00:00 PM +0000,47.615391,-122.349498,"(47.615391, -122.349498)",F150132411
9201 Rainier Av S,Auto Fire Alarm,11/18/2015 03:56:00 PM +0000,47.52101,-122.269997,"(47.52101, -122.269997)",F150132329
701 1st Av N,Auto Fire Alarm,11/18/2015 01:52:00 PM +0000,47.625452,-122.355397,"(47.625452, -122.355397)",F150132304
4719 15th Av Ne,Auto Fire Alarm,11/18/2015 01:49:00 PM +0000,47.663193,-122.311964,"(47.663193, -122.311964)",F150132303
5214 17th Av Ne,Auto Fire Alarm,11/18/2015 11:24:00 AM +0000,47.66651,-122.309452,"(47.66651, -122.309452)",F150132277
223 Yesler Way,Auto Fire Alarm,11/18/2015 07:49:00 AM +0000,47.601718,-122.331581,"(47.601718, -122.331581)",F150132249
523 Pine St,Auto Fire Alarm,11/18/2015 06:09:00 AM +0000,47.611781,-122.336223,"(47.611781, -122.336223)",F150132225
1420 Western Av,Auto Fire Alarm,11/18/2015 02:13:00 AM +0000,47.607557,-122.340392,"(47.607557, -122.340392)",F150132160
5711 24th Av Nw,Auto Fire Alarm,11/18/2015 12:03:00 AM +0000,47.670261,-122.387587,"(47.670261, -122.387587)",F150132107
5711 24th Av Nw,Auto Fire Alarm,11/18/2015 12:03:00 AM +0000,47.670261,-122.387587,"(47.670261, -122.387587)",F150132109
2320 43rd Av E,Auto Fire Alarm,11/17/2015 10:45:00 PM +0000,47.639412,-122.277085,"(47.639412, -122.277085)",F150132079
10303 Meridian Av N,Auto Fire Alarm,11/17/2015 10:28:00 PM +0000,47.703238,-122.333903,"(47.703238, -122.333903)",F150132071
2911 2nd Av,Auto Fire Alarm,11/17/2015 09:17:00 PM +0000,47.617657,-122.35177,"(47.617657, -122.35177)",F150132042
3425 M L King Jr Way S,Auto Fire Alarm,11/17/2015 09:10:00 PM +0000,47.572708,-122.296928,"(47.572708, -122.296928)",F150132039
3922 Sw Alaska St,Auto Fire Alarm,11/17/2015 07:45:00 PM +0000,47.561131,-122.38175,"(47.561131, -122.38175)",F150131995
9700 M L King Jr Way S,Auto Fire Alarm,11/17/2015 05:22:00 PM +0000,47.515171,-122.278883,"(47.515171, -122.278883)",F150131935
2119 2ND AV,Auto Fire Alarm,11/17/2015 03:37:00 PM +0000,47.612643,-122.343292,"(47.612643, -122.343292)",F150131915
1741 1st Av S,Auto Fire Alarm,11/17/2015 01:33:00 PM +0000,47.587789,-122.334197,"(47.587789, -122.334197)",F150131885
909 4th Av,Auto Fire Alarm,11/17/2015 06:24:00 AM +0000,47.605432,-122.33231,"(47.605432, -122.33231)",F150131827
269 E Boston St,Auto Fire Alarm,11/17/2015 06:10:00 AM +0000,47.638247,-122.323464,"(47.638247, -122.323464)",F150131824
