Address,Type,Datetime,Latitude,Longitude,Report Location,Incident Number
4537 49th Av Ne,Automatic Fire Alarm Resd,11/19/2015 12:43:00 AM +0000,47.66161,-122.27467,"(47.66161, -122.27467)",F150132530
1133 16th Av E,Automatic Fire Alarm Resd,11/18/2015 08:37:00 PM +0000,47.629359,-122.311257,"(47.629359, -122.311257)",F150132426
3438 E Huron St,Automatic Fire Alarm Resd,11/18/2015 12:36:00 AM +0000,47.602103,-122.288767,"(47.602103, -122.288767)",F150132127
10014 Rainier Av S,Automatic Fire Alarm Resd,11/17/2015 06:16:00 PM +0000,47.511543,-122.248223,"(47.511543, -122.248223)",F150131957
5105 27th Av Ne,Automatic Fire Alarm Resd,11/17/2015 07:59:00 AM +0000,47.666403,-122.298496,"(47.666403, -122.298496)",F150131842
7308 46th Av S,Automatic Fire Alarm Resd,11/17/2015 02:23:00 AM +0000,47.536969,-122.275339,"(47.536969, -122.275339)",F150131737
7917 46th Av S,Automatic Fire Alarm Resd,11/17/2015 02:16:00 AM +0000,47.531453,-122.274475,"(47.531453, -122.274475)",F150131734
1402 Alki Av Sw,Automatic Fire Alarm Resd,11/16/2015 11:58:00 PM +0000,47.590677,-122.392766,"(47.590677, -122.392766)",F150131695
2434 Montavista Pl W,Automatic Fire Alarm Resd,11/16/2015 11:34:00 PM +0000,47.640433,-122.404794,"(47.640433, -122.404794)",F150131681
3510 E Spruce St,Automatic Fire Alarm Resd,11/16/2015 07:37:00 PM +0000,47.603617,-122.287565,"(47.603617, -122.287565)",F150131592
4531 Ne 55th St,Automatic Fire Alarm Resd,11/16/2015 08:13:00 AM +0000,47.669064,-122.279193,"(47.669064, -122.279193)",F150131434
721 N 83rd St,Automatic Fire Alarm Resd,11/16/2015 01:51:00 AM +0000,47.689112,-122.349623,"(47.689112, -122.349623)",F150131299
1821 N 51st St,Automatic Fire Alarm Resd,11/16/2015 01:22:00 AM +0000,47.665773,-122.336214,"(47.665773, -122.336214)",F150131287
5600 NE 55TH ST,Automatic Fire Alarm Resd,11/15/2015 10:45:00 AM +0000,47.668487,-122.265982,"(47.668487, -122.265982)",F150131032
5600 Ne 55th St,Automatic Fire Alarm Resd,11/15/2015 10:20:00 AM +0000,47.668487,-122.265982,"(47.668487, -122.265982)",F150131021
545 S Sullivan St,Automatic Fire Alarm Resd,11/15/2015 09:36:00 AM +0000,47.527369,-122.328198,"(47.527369, -122.328198)",F150131004
7950 44th Pl S,Automatic Fire Alarm Resd,11/15/2015 07:53:00 AM +0000,47.530563,-122.276981,"(47.530563, -122.276981)",F150130973
3730 Densmore Av N,Automatic Fire Alarm Resd,11/15/2015 07:21:00 AM +0000,47.65233,-122.337497,"(47.65233, -122.337497)",F150130962
1402 Sunset Av Sw,Automatic Fire Alarm Resd,11/15/2015 06:09:00 AM +0000,47.591446,-122.388599,"(47.591446, -122.388599)",F150130939
2628 Nw Esplanade,Automatic Fire Alarm Resd,11/15/2015 02:38:00 AM +0000,47.701256,-122.391158,"(47.701256, -122.391158)",F150130858
10415 Renton Av S,Automatic Fire Alarm Resd,11/14/2015 10:40:00 PM +0000,47.507823,-122.256106,"(47.507823, -122.256106)",F150130790
719 33rd Av,Automatic Fire Alarm Resd,11/14/2015 10:28:00 PM +0000,47.608193,-122.290473,"(47.608193, -122.290473)",F150130781
5128 S Juneau St,Automatic Fire Alarm Resd,11/14/2015 09:12:00 PM +0000,47.549714,-122.269149,"(47.549714, -122.269149)",F150130770
4829 Pullman Av Ne,Automatic Fire Alarm Resd,11/14/2015 06:11:00 PM +0000,47.669213,-122.275513,"(47.669213, -122.275513)",F150130719
8110 Stone Av N,Automatic Fire Alarm Resd,11/14/2015 02:42:00 AM +0000,47.687723,-122.34181,"(47.687723, -122.34181)",F150130503
150 Nw 59th St,Automatic Fire Alarm Resd,11/13/2015 11:54:00 PM +0000,47.671629,-122.358665,"(47.671629, -122.358665)",F150130439
3715 Magnolia Blvd W,Automatic Fire Alarm Resd,11/13/2015 10:25:00 PM +0000,47.653356,-122.412285,"(47.653356, -122.412285)",F150130403
8107 49th Av S,Automatic Fire Alarm Resd,11/13/2015 05:42:00 PM +0000,47.530291,-122.271782,"(47.530291, -122.271782)",F150130291
817 Nw 64th St,Automatic Fire Alarm Resd,11/13/2015 06:44:00 AM +0000,47.675266,-122.36649,"(47.675266, -122.36649)",F150130161
4509 Cascadia Av S,Automatic Fire Alarm Resd,11/13/2015 03:42:00 AM +0000,47.562755,-122.282779,"(47.562755, -122.282779)",F150130106
4000 14th Av S,Automatic Fire Alarm Resd,11/13/2015 01:52:00 AM +0000,47.56816,-122.314707,"(47.56816, -122.314707)",F150130059
2014 E Yesler Way,Automatic Fire Alarm Resd,11/12/2015 06:53:00 AM +0000,47.601674,-122.306165,"(47.601674, -122.306165)",F150129580
9842 44th Av Sw,Automatic Fire Alarm Resd,11/12/2015 04:50:00 AM +0000,47.515274,-122.388684,"(47.515274, -122.388684)",F150129554
12622 10th Av Ne,Automatic Fire Alarm Resd,11/12/2015 01:34:00 AM +0000,47.720453,-122.318129,"(47.720453, -122.318129)",F150129485
3515 46th Av Ne,Automatic Fire Alarm Resd,11/12/2015 01:20:00 AM +0000,47.653716,-122.277974,"(47.653716, -122.277974)",F150129480
2622 50th Av Sw,Automatic Fire Alarm Resd,11/11/2015 10:07:00 PM +0000,47.580825,-122.395309,"(47.580825, -122.395309)",F150129423
