Year,Season,Type,Num
2015,1,AidResponse,4476
2015,2,AidResponse,4937
2015,3,AidResponse,4375
2015,4,AidResponse,3812
2014,1,AidResponse,4246
2014,2,AidResponse,4744
2014,3,AidResponse,4471
2014,4,AidResponse,4089
2013,1,AidResponse,4286
2013,2,AidResponse,4643
2013,3,AidResponse,3894
2013,4,AidResponse,3965
2012,1,AidResponse,3719
2012,2,AidResponse,4108
2012,3,AidResponse,3787
2012,4,AidResponse,4067
2015,1,MedicReponse,1232
2015,2,MedicReponse,1247
2015,3,MedicReponse,1214
2015,4,MedicReponse,1096
2014,1,MedicReponse,1074
2014,2,MedicReponse,1127
2014,3,MedicReponse,1154
2014,4,MedicReponse,1111
2013,1,MedicReponse,1228
2013,2,MedicReponse,1101
2013,3,MedicReponse,1004
2013,4,MedicReponse,1062
2012,1,MedicReponse,1252
2012,2,MedicReponse,1254
2012,3,MedicReponse,1212
2012,4,MedicReponse,1182
2015,1,AutoFireAlarm,369
2015,2,AutoFireAlarm,424
2015,3,AutoFireAlarm,409
2015,4,AutoFireAlarm,366
2014,1,AutoFireAlarm,366
2014,2,AutoFireAlarm,386
2014,3,AutoFireAlarm,429
2014,4,AutoFireAlarm,382
2013,1,AutoFireAlarm,454
2013,2,AutoFireAlarm,396
2013,3,AutoFireAlarm,422
2013,4,AutoFireAlarm,416
2012,1,AutoFireAlarm,372
2012,2,AutoFireAlarm,432
2012,3,AutoFireAlarm,420
2012,4,AutoFireAlarm,377
2015,1,TranstoAMR,419
2015,2,TranstoAMR,414
2015,3,TranstoAMR,452
2015,4,TranstoAMR,416
2014,1,TranstoAMR,292
2014,2,TranstoAMR,340
2014,3,TranstoAMR,321
2014,4,TranstoAMR,377
2013,1,TranstoAMR,246
2013,2,TranstoAMR,256
2013,3,TranstoAMR,252
2013,4,TranstoAMR,281
2012,1,TranstoAMR,215
2012,2,TranstoAMR,249
2012,3,TranstoAMR,219
2012,4,TranstoAMR,229
2015,1,MotorVehicleIncident,229
2015,2,MotorVehicleIncident,244
2015,3,MotorVehicleIncident,247
2015,4,MotorVehicleIncident,232
2014,1,MotorVehicleIncident,213
2014,2,MotorVehicleIncident,240
2014,3,MotorVehicleIncident,247
2014,4,MotorVehicleIncident,128
2013,1,MotorVehicleIncident,209
2013,2,MotorVehicleIncident,214
2013,3,MotorVehicleIncident,207
2013,4,MotorVehicleIncident,187
2012,1,MotorVehicleIncident,213
2012,2,MotorVehicleIncident,215
2012,3,MotorVehicleIncident,223
2012,4,MotorVehicleIncident,200
2015,1,AidResponseYellow,160
2015,2,AidResponseYellow,190
2015,3,AidResponseYellow,184
2015,4,AidResponseYellow,156
2014,1,AidResponseYellow,169
2014,2,AidResponseYellow,159
2014,3,AidResponseYellow,157
2014,4,AidResponseYellow,173
2013,1,AidResponseYellow,149
2013,2,AidResponseYellow,156
2013,3,AidResponseYellow,137
2013,4,AidResponseYellow,143
2012,1,AidResponseYellow,161
2012,2,AidResponseYellow,151
2012,3,AidResponseYellow,161
2012,4,AidResponseYellow,151
2015,1,Others,1162
2015,2,Others,1633
2015,3,Others,1443
2015,4,Others,990
2014,1,Others,1155
2014,2,Others,1487
2014,3,Others,1405
2014,4,Others,1215
2013,1,Others,1136
2013,2,Others,1300
2013,3,Others,1095
2013,4,Others,1184
2012,1,Others,978
2012,2,Others,1155
2012,3,Others,1091
2012,4,Others,916
