Address,Type,Datetime,Latitude,Longitude,Report Location,Incident Number
401 N 130th St,Wires Down,11/18/2015 05:48:00 PM +0000,47.723231,-122.354173,"(47.723231, -122.354173)",F150132359
9818 61st Av S,Wires Down,11/18/2015 12:26:00 AM +0000,47.513205,-122.257036,"(47.513205, -122.257036)",F150132121
6th Av S / S Lucile St,Wires Down,11/18/2015 12:18:00 AM +0000,47.553384,-122.326875,"(47.553384, -122.326875)",F150132116
8301 32nd Av Nw,Wires Down,11/17/2015 11:58:00 PM +0000,47.689049,-122.398323,"(47.689049, -122.398323)",F150132102
Sw Canada Dr / Beach Dr Sw,Wires Down,11/17/2015 10:39:00 PM +0000,47.554793,-122.399433,"(47.554793, -122.399433)",F150132078
12th Av S / S Jackson St,Wires Down,11/17/2015 09:58:00 PM +0000,47.599187,-122.317225,"(47.599187, -122.317225)",F150132062
15th Av S / 14th Av S,Wires Down,11/17/2015 09:54:00 PM +0000,47.592905,-122.314872,"(47.592905, -122.314872)",F150132056
9367 Rainier Av S,Wires Down,11/17/2015 08:41:00 PM +0000,47.519839,-122.265782,"(47.519839, -122.265782)",F150132026
S Brandon St / 45th Av S,Wires Down,11/17/2015 07:08:00 PM +0000,47.553389,-122.276522,"(47.553389, -122.276522)",F150131983
3717 Beach Dr Sw,Wires Down,11/17/2015 06:19:00 PM +0000,47.571002,-122.41077,"(47.571002, -122.41077)",F150131959
4864 Rainier Av S,Wires Down,11/15/2015 12:52:00 PM +0000,47.558421,-122.285326,"(47.558421, -122.285326)",F150131049
6529 25th Av Sw,Wires Down,11/14/2015 12:06:00 AM +0000,47.544465,-122.364546,"(47.544465, -122.364546)",F150130447
Highland Park Way Sw / Sw Othello St,Wires Down,11/02/2015 02:46:00 AM +0000,47.536395,-122.347089,"(47.536395, -122.347089)",F150125656
N 78th St / Greenwood Av N,Wires Down,11/02/2015 01:09:00 AM +0000,47.685486,-122.355299,"(47.685486, -122.355299)",F150125632
10TH AV S / S JACKSON ST,Wires Down,10/11/2015 07:28:00 PM +0000,47.599184,-122.319639,"(47.599184, -122.319639)",F150117129
10730 Greenwood Av N,Wires Down,10/10/2015 09:12:00 PM +0000,47.707076,-122.355468,"(47.707076, -122.355468)",F150116784
5th Av W / W Raye St,Wires Down,10/10/2015 03:04:00 PM +0000,47.643118,-122.363579,"(47.643118, -122.363579)",F150116644
2603 Perkins Ln W,Wires Down,10/07/2015 01:41:00 AM +0000,47.642746,-122.416286,"(47.642746, -122.416286)",F150115031
S Dearborn St / Rainier Av S,Wires Down,10/02/2015 04:14:00 AM +0000,47.595874,-122.31153,"(47.595874, -122.31153)",F150113028
13714 37th Av Ne,Wires Down,09/25/2015 01:45:00 AM +0000,47.728353,-122.288261,"(47.728353, -122.288261)",F150110117
25th Av Ne / Ne 94th St,Wires Down,09/23/2015 03:30:00 PM +0000,47.69663,-122.301539,"(47.69663, -122.301539)",F150109356
5th Av N / Halladay St,Wires Down,09/21/2015 04:59:00 AM +0000,47.642261,-122.34785,"(47.642261, -122.34785)",F150108452
11027 Exeter Av Ne,Wires Down,09/19/2015 05:15:00 PM +0000,47.70959,-122.277802,"(47.70959, -122.277802)",F150107830
5151 S Director St,Wires Down,09/19/2015 12:40:00 AM +0000,47.521899,-122.268714,"(47.521899, -122.268714)",F150107571
Rainier Av S / S Chicago St,Wires Down,09/14/2015 12:54:00 AM +0000,47.532625,-122.269988,"(47.532625, -122.269988)",F150105579
4000 E Madison St,Wires Down,09/09/2015 06:11:00 PM +0000,47.633728,-122.281063,"(47.633728, -122.281063)",F150103766
Highland Park Way Sw / Sw Othello St,Wires Down,08/30/2015 06:51:00 AM +0000,47.536395,-122.347089,"(47.536395, -122.347089)",F150099502
10714 24th Av Ne,Wires Down,08/29/2015 11:19:00 PM +0000,47.706406,-122.302317,"(47.706406, -122.302317)",F150099287
20th Av / E Union St,Wires Down,08/29/2015 10:34:00 PM +0000,47.61291,-122.306246,"(47.61291, -122.306246)",F150099265
3835 Ne 95th St,Wires Down,08/29/2015 09:46:00 PM +0000,47.697431,-122.286995,"(47.697431, -122.286995)",F150099231
N 100th St / Aurora Av N,Wires Down,08/29/2015 08:53:00 PM +0000,47.70143,-122.344651,"(47.70143, -122.344651)",F150099197
4547 4th Av Ne,Wires Down,08/29/2015 08:33:00 PM +0000,47.661762,-122.32403,"(47.661762, -122.32403)",F150099184
4701 25th Av Sw,Wires Down,08/29/2015 08:18:00 PM +0000,47.561075,-122.36421,"(47.561075, -122.36421)",F150099164
4039 Ne 110th St,Wires Down,08/29/2015 08:04:00 PM +0000,47.708313,-122.285492,"(47.708313, -122.285492)",F150099137
