Month,AidResponse,MedicResponse,AutoFireAlarm,TranstoAMR,MotorVehicleAccident,AidResponseYellow,Others
2012-Jan,3443,1211,402,258,167,149,1040
2012-Feb,3281,1188,356,234,140,137,962
2012-Mar,3570,1360,366,208,200,158,919
2012-Apr,3687,1181,325,218,198,164,976
2012-May,3899,1215,424,220,241,160,1040
2012-Jun,3981,1235,420,228,212,155,1057
2012-Jul,4043,1272,434,236,216,135,1117
2012-Aug,4301,1254,443,284,217,164,1292
2012-Sep,4043,1268,383,233,188,146,1160
2012-Oct,3736,1183,436,213,266,175,1152
2012-Nov,3581,1185,442,211,216,162,962
2012-Dec,4213,1191,381,251,233,135,945
2013-Jan,4208,1241,404,242,210,162,992
2013-Feb,3781,1114,347,193,158,157,812
2013-Mar,4304,1263,437,235,175,150,947
2013-Apr,3882,1218,466,273,213,153,1115
2013-May,4672,1202,459,230,239,143,1346
2013-Jun,4509,1050,390,261,229,156,1229
2013-Jul,4836,1129,381,241,213,153,1410
2013-Aug,4584,1125,418,266,201,159,1262
2013-Sep,4242,1042,468,256,233,134,1203
2013-Oct,4062,1112,449,299,207,136,1081
2013-Nov,3379,859,348,201,180,141,1001
2013-Dec,4011,1124,557,293,206,148,1257
2014-Jan,4034,1083,287,268,162,125,1209
2014-Feb,3851,980,403,283,194,155,1087
2014-Mar,4224,1093,372,315,209,188,1151
2014-Apr,4218,1098,367,267,199,164,1088
2014-May,4296,1032,359,295,231,155,1226
2014-Jun,4597,1035,383,352,260,161,1299
2014-Jul,4839,1138,397,346,228,169,1609
2014-Aug,4796,1207,377,323,231,148,1553
2014-Sep,4562,1118,395,324,232,156,1356
2014-Oct,4667,1252,447,330,276,161,1532
2014-Nov,4183,1092,445,309,233,153,1327
2014-Dec,4140,1055,405,410,105,196,1312
2015-Jan,4354,1188,369,393,82,155,1335
2015-Feb,3773,1091,371,329,198,169,997
2015-Mar,4369,1205,352,446,217,156,1086
2015-Apr,4237,1223,377,398,238,151,1147
2015-May,4821,1267,377,413,233,174,1254
2015-Jun,4820,1169,398,400,251,186,1539
2015-Jul,5040,1299,428,418,247,173,1759
2015-Aug,4950,1274,445,424,235,212,1602
2015-Sep,4466,1203,393,436,230,173,1925
2015-Oct,4614,1241,406,473,259,214,1134
2015-Nov,4046,1199,428,448,251,164,1269
2015-Dec,1906,548,183,208,116,78,495
